question_id,table_id,question,gold,prediction,status,strict_exact_match,normalized_exact_match,numeric_exact_match,vinumqa_match,total_latency_seconds,reasoning_steps,avg_latency_per_step_seconds,error
6ed57e2cc8e3a916,vinumqa_0001,Doanh thu cao nhất trong giai đoạn FY17-FY21 là bao nhiêu (tỷ VND)?,4216.0,: 4216,ok,0,0,0,0,76.10482670900001,4,19.026206677250002,
53e4ecb424fb32b7,vinumqa_0002,Biên lợi nhuận đóng gói tiêu dùng trong năm 2013 là bao nhiêu?,0.04687,,empty_answer,0,0,0,0,115.77929238900003,5,23.155858477800006,
07533e4ae61fe888,vinumqa_0003,Giá trị EBIT thấp nhất trong giai đoạn 2014-2019?,268.0,: 268,ok,0,0,0,0,77.6066551639999,2,38.80332758199995,
77ca979a0884a3dd,vinumqa_0004,Lợi nhuận sau thuế của VSH trong năm 2021 tăng bao nhiêu tỷ đồng so với năm 2020?,293.0,,empty_answer,0,0,0,0,85.88632266399986,5,17.177264532799974,
a60f6763aff3c35f,vinumqa_0005,Biên lợi nhuận hoạt động kinh doanh (Biên LN HĐKD) cao nhất trong giai đoạn được liệt kê là bao nhiêu phần trăm?,25.7,: 25.7,ok,0,1,0,1,72.08225627599995,3,24.027418758666652,
dba2f48e8cfd3388,vinumqa_0006,Tỷ suất lợi nhuận đầu tư (ROI) của khoản đầu tư vào chỉ số Nasdaq Composite từ tháng 3 năm 2006 đến tháng 3 năm 2009 là bao nhiêu?,-0.3467,: -34.67%,ok,0,0,0,0,45.80961504700008,2,22.90480752350004,
aba68a617a0cf19a,vinumqa_0007,Mức tăng chi phí xây dựng tính theo phần trăm so với mức tăng tiền mặt ròng sử dụng trong hoạt động đầu tư năm 2003 là bao nhiêu?,0.65153,,empty_answer,0,0,0,0,116.45866686299996,5,23.291733372599992,
0eb69867f3de6f97,vinumqa_0008,tỷ lệ tăng trung bình trong số dư lợi ích thuế chưa được công nhận từ năm 2011 đến 2013 là bao nhiêu?,0.90147,: -10.87%,ok,0,0,0,0,82.40986174599993,2,41.20493087299997,
fea7e78932a43c31,vinumqa_0009,Doanh thu thuần cao nhất trong giai đoạn 2019-2023F là bao nhiêu (tỷ đồng)?,2333.0,: 2333,ok,0,0,0,0,47.122010700000146,2,23.561005350000073,
cc8d09b602aeb047,vinumqa_0010,"Chi phí vốn trung bình hàng năm cho bộ phận doanh nghiệp là bao nhiêu, tính bằng triệu đô la?",44.66667,: 44.6667,ok,0,0,0,0,55.02019329099994,2,27.51009664549997,
6241c1035d56ee4d,vinumqa_0011,Tài sản trung bình (tính bằng tỷ đô la) của từng quỹ tự tài trợ của công ty là bao nhiêu?,390.525,,empty_answer,0,0,0,0,74.485810076,5,14.897162015200001,
f9c21e94896b6005,vinumqa_0012,Tỷ lệ phần trăm tăng thêm cho các khoản bổ sung bán hàng mới của dự trữ mua lại từ năm 2008 đến năm 2009 là bao nhiêu?,0.43478,": 43.48% 

(The percentage increase is calculated as ((33 - 23) / 23) * 100.)",ok,0,0,0,0,69.80372272099999,2,34.90186136049999,
2cf9f92797f985db,vinumqa_0013,Lợi nhuận sau thuế (LNST) dự báo cho năm 2024 là bao nhiêu tỷ đồng?,40791.0,: 40791,ok,0,0,0,0,30.99014101700004,2,15.49507050850002,
911f58bf5305ecfa,vinumqa_0014,lợi nhuận cao nhất trong năm đầu tiên của khoản đầu tư là bao nhiêu?,40.0,,empty_answer,0,0,0,0,127.55225360400004,5,25.51045072080001,
cb69624b08f7e46e,vinumqa_0015,Tổng thu nhập hàng năm của một nhân viên là bao nhiêu?,125000.0,": The table does not contain information about employees or per-employee income, so it cannot be determined.",ok,0,0,0,0,73.48804578499994,3,24.496015261666646,
ae53ef1f97228793,vinumqa_0016,Tổng dự phòng cụ thể trong danh mục TDR tổng thể tính bằng tỷ đồng vào ngày 31 tháng 12 năm 2014 và ngày 31 tháng 12 năm 2013 là bao nhiêu?,0.9,,empty_answer,0,0,0,0,109.37274730799982,5,21.874549461599962,
af6af8c2abaf62b0,vinumqa_0017,"Dựa trên P/B dự phóng cuối năm 2022 và P/B hợp lý, tiềm năng tăng giá là bao nhiêu phần trăm?",0.25,,empty_answer,0,0,0,0,71.780937687,5,14.3561875374,
bafcb6d69bb9e99a,vinumqa_0018,Phần nào của tổng thu nhập hoạt động được tạo ra bởi phân khúc Bắc Mỹ trong năm 2015?,1.12829,,empty_answer,0,0,0,0,57.61143736899976,5,11.522287473799953,
4c37b171f1da2769,vinumqa_0019,Tổng công suất (MW) của các nhà máy thủy điện mới đi vào hoạt động năm 2020 và dự án Bảo Lạc A dự kiến là bao nhiêu?,84.0,,empty_answer,0,0,0,0,95.04635597700008,5,19.009271195400014,
db99c5e483886c2a,vinumqa_0020,Giá cổ phiếu dựa trên tỷ suất cổ tức tại thời điểm cổ tức được tuyên bố là bao nhiêu?,12.5,,empty_answer,0,0,0,0,123.05767932699973,5,24.611535865399947,
e477e91dd73506dc,vinumqa_0021,Tỷ lệ phần trăm công nghệ hiện có trong tổng tài sản vô hình là bao nhiêu?,0.65,: không thể xác định từ bảng đã cho,ok,0,0,0,0,78.32253335500036,4,19.58063333875009,
caf683e0dfae7289,vinumqa_0022,Doanh thu năm 2020 đã giảm bao nhiêu phần trăm so với năm 2019?,0.38495,: 38.5%,ok,0,0,0,0,56.96908191200009,5,11.393816382400018,
238439be38cf05e5,vinumqa_0023,Lợi nhuận sau thuế (LNST) thấp nhất (tính bằng VNDbn) trong giai đoạn được báo cáo là bao nhiêu?,129.0,: 129,ok,0,0,0,0,80.90512602699982,3,26.968375342333275,
23717ab10aff5a44,vinumqa_0024,"Dựa trên giá mục tiêu của IDC và EPS dự phóng cho năm 2022, tỷ lệ P/E ngụ ý là bao nhiêu?",11.76088,,empty_answer,0,0,0,0,109.433058179,5,21.8866116358,
50abdb20e9828b8b,vinumqa_0025,"Sự thay đổi trong các khoản thanh toán gốc đến hạn năm 2006 so với năm 2007 là bao nhiêu, tính bằng nghìn?",-256245.0,,empty_answer,0,0,0,0,73.09534216200018,5,14.619068432400036,
