Question_ID,Question,Gold_Answer,Model_Answer,Exact_Match,Status,Num_Iterations,Total_Latency_Sec,Input_Tokens,Output_Tokens,Soft_Match_Score
6ed57e2cc8e3a916,Doanh thu cao nhất trong giai đoạn FY17-FY21 là bao nhiêu (tỷ VND)?,4216.0,: Doanh thu cao nhất trong giai đoạn FY17-FY21 là **4216 tỷ VND** (đạt được trong năm FY20).,0,SUCCESS,2,51.9311,4265,3982,1
53e4ecb424fb32b7,Biên lợi nhuận đóng gói tiêu dùng trong năm 2013 là bao nhiêu?,0.04687,": Biên lợi nhuận đóng gói tiêu dùng trong năm 2013 là khoảng 4.69%. Cụ thể, được tính từ lợi nhuận từ hoạt động kinh doanh là 161 triệu đô la chia cho doanh thu là 3.435 triệu đô la, tương đương 161/3435 ≈ 4,69%.",0,SUCCESS,2,88.1615,4196,7319,1
07533e4ae61fe888,Giá trị EBIT thấp nhất trong giai đoạn 2014-2019?,268.0,": Giá trị EBIT thấp nhất trong giai đoạn 2014-2019 là 268, đạt được vào năm 2015.",0,SUCCESS,2,35.3718,4118,677,1
77ca979a0884a3dd,Lợi nhuận sau thuế của VSH trong năm 2021 tăng bao nhiêu tỷ đồng so với năm 2020?,293.0,": Lợi nhuận sau thuế của VSH trong năm 2021 là 481 tỷ đồng, trong khi năm 2020 là 188 tỷ đồng. Như vậy, lợi nhuận sau thuế năm 2021 đã tăng **293 tỷ đồng** so với năm 2020.",0,SUCCESS,2,25.8145,5079,1744,1
a60f6763aff3c35f,Biên lợi nhuận hoạt động kinh doanh (Biên LN HĐKD) cao nhất trong giai đoạn được liệt kê là bao nhiêu phần trăm?,25.7,": Biên lợi nhuận hoạt động kinh doanh (Biên LN HĐKD) cao nhất trong giai đoạn được liệt kê là 38,5%.</Answer>",0,SUCCESS,3,262.6524,8310,28944,0
dba2f48e8cfd3388,Tỷ suất lợi nhuận đầu tư (ROI) của khoản đầu tư vào chỉ số Nasdaq Composite từ tháng 3 năm 2006 đến tháng 3 năm 2009 là bao nhiêu?,-0.3467,": Tỷ suất lợi nhuận đầu tư (ROI) của khoản đầu tư vào chỉ số Nasdaq Composite từ tháng 3 năm 2006 đến tháng 3 năm 2009 là **-34,67%**.

Cụ thể, chỉ số Nasdaq Composite được chuẩn hóa ở mức 100 vào ngày 31/3/2006 và giảm xuống còn 65,33 vào ngày 31/3/2009. Do đó:
ROI = (65,33 − 100) / 100 = −0,3467, tức là giảm 34,67% trong giai đoạn này.",0,SUCCESS,2,15.8473,3949,640,1
aba68a617a0cf19a,Mức tăng chi phí xây dựng tính theo phần trăm so với mức tăng tiền mặt ròng sử dụng trong hoạt động đầu tư năm 2003 là bao nhiêu?,0.65153,,0,EMPTY_PREDICTION,3,409.3627,8996,20282,0
0eb69867f3de6f97,tỷ lệ tăng trung bình trong số dư lợi ích thuế chưa được công nhận từ năm 2011 đến 2013 là bao nhiêu?,0.90147,": The average growth rate in the unrecognized tax benefit balance from 2011 to 2013 was approximately **−10.87%** (a decline of about 10.87% per year), with the balance decreasing from $107 million at the end of 2011 to $85 million at the end of 2013.",0,SUCCESS,2,139.9257,4278,1711,0
fea7e78932a43c31,Doanh thu thuần cao nhất trong giai đoạn 2019-2023F là bao nhiêu (tỷ đồng)?,2333.0,": Doanh thu thuần cao nhất trong giai đoạn 2019–2023F là **2.333 tỷ đồng**, đạt được ở năm 2023F.

Cụ thể, doanh thu thuần theo từng năm như sau:
- 2019: 1.042 tỷ đồng
- 2020: 1.203 tỷ đồng
- 2021F: 1.574 tỷ đồng
- 2022F: 1.958 tỷ đồng
- **2023F: 2.333 tỷ đồng (cao nhất)**",0,SUCCESS,2,25.7503,4432,1447,1
cc8d09b602aeb047,"Chi phí vốn trung bình hàng năm cho bộ phận doanh nghiệp là bao nhiêu, tính bằng triệu đô la?",44.66667,": Chi phí vốn trung bình hàng năm cho bộ phận doanh nghiệp là khoảng 44,67 triệu đô la.",0,SUCCESS,2,80.3394,4234,7192,1
6241c1035d56ee4d,Tài sản trung bình (tính bằng tỷ đô la) của từng quỹ tự tài trợ của công ty là bao nhiêu?,390.525,,0,TIMEOUT,0,0.0,0,0,0
f9c21e94896b6005,Tỷ lệ phần trăm tăng thêm cho các khoản bổ sung bán hàng mới của dự trữ mua lại từ năm 2008 đến năm 2009 là bao nhiêu?,0.43478,": Tỷ lệ phần trăm tăng thêm cho các khoản bổ sung bán hàng mới của dự trữ mua lại từ năm 2008 đến năm 2009 là khoảng **43,48%**.

Cách tính: Giá trị bổ sung cho doanh số mới năm 2009 là 33 triệu đô la và năm 2008 là 23 triệu đô la. Phần trăm tăng thêm = (33 - 23) / 23 × 100 = 10 / 23 × 100 ≈ 43,48%.",0,SUCCESS,2,30.735,3740,1812,1
2cf9f92797f985db,Lợi nhuận sau thuế (LNST) dự báo cho năm 2024 là bao nhiêu tỷ đồng?,40791.0,: Lợi nhuận sau thuế (LNST) dự báo cho năm 2024 là **40.791 tỷ đồng** (tương ứng với cột 2024F trong bảng dữ liệu).,0,SUCCESS,2,17.9633,4266,409,1
911f58bf5305ecfa,lợi nhuận cao nhất trong năm đầu tiên của khoản đầu tư là bao nhiêu?,40.0,: Lợi nhuận (EPS) cao nhất trong năm đầu tiên (FY 2016) của khoản đầu tư là **1.971 VND**.,0,SUCCESS,2,88.8168,7638,39426,0
cb69624b08f7e46e,Tổng thu nhập hàng năm của một nhân viên là bao nhiêu?,125000.0,: Tổng thu nhập hàng năm của một nhân viên là 55.074 (đô la Mỹ).,0,SUCCESS,2,155.6106,4077,5891,0
ae53ef1f97228793,Tổng dự phòng cụ thể trong danh mục TDR tổng thể tính bằng tỷ đồng vào ngày 31 tháng 12 năm 2014 và ngày 31 tháng 12 năm 2013 là bao nhiêu?,0.9,,0,TIMEOUT,0,0.0,0,0,0
af6af8c2abaf62b0,"Dựa trên P/B dự phóng cuối năm 2022 và P/B hợp lý, tiềm năng tăng giá là bao nhiêu phần trăm?",0.25,": Based on the projected P/B at the end of 2022 of 1.6x and a fair P/B of 1.62x, the upside potential is approximately **1.25%**. In other words, the stock price is expected to rise by about 1.25% to reach its fair value based on the P/B valuation.",0,SUCCESS,3,138.7347,8308,10957,0
bafcb6d69bb9e99a,Phần nào của tổng thu nhập hoạt động được tạo ra bởi phân khúc Bắc Mỹ trong năm 2015?,1.12829,": Trong năm 2015, phân khúc Bắc Mỹ tạo ra thu nhập hoạt động là 460.961 nghìn đô la, trong khi tổng thu nhập hoạt động của toàn công ty là 408.547 nghìn đô la. Do đó, phần mà phân khúc Bắc Mỹ đóng góp vào tổng thu nhập hoạt động năm 2015 là khoảng **112,83%** (460.961 ÷ 408.547). Con số vượt quá 100% là do các phân khúc khác (như Mỹ Latinh và Fitness kết nối) có kết quả hoạt động âm, nên thu nhập từ Bắc Mỹ nhiều hơn mức tổng thu nhập ròng cuối cùng.",0,SUCCESS,2,170.5471,10144,25110,1
4c37b171f1da2769,Tổng công suất (MW) của các nhà máy thủy điện mới đi vào hoạt động năm 2020 và dự án Bảo Lạc A dự kiến là bao nhiêu?,84.0,,0,TIMEOUT,0,0.0,0,0,0
db99c5e483886c2a,Giá cổ phiếu dựa trên tỷ suất cổ tức tại thời điểm cổ tức được tuyên bố là bao nhiêu?,12.5,": Giá cổ phiếu tại thời điểm cổ tức được tuyên bố, dựa trên tỷ suất cổ tức dự kiến 2.4%, là **$50.00**.",0,SUCCESS,3,187.5925,14757,43869,0
e477e91dd73506dc,Tỷ lệ phần trăm công nghệ hiện có trong tổng tài sản vô hình là bao nhiêu?,0.65,,0,TIMEOUT,0,0.0,0,0,0
caf683e0dfae7289,Doanh thu năm 2020 đã giảm bao nhiêu phần trăm so với năm 2019?,0.38495,": Doanh thu năm 2020 đã giảm khoảng **38,49%** so với năm 2019. Cụ thể, doanh thu năm 2019 là 23.733 tỷ đồng và năm 2020 là 14.597 tỷ đồng, tức giảm 9.136 tỷ đồng (tương đương 38,49%).",0,SUCCESS,2,29.5922,4697,778,1
238439be38cf05e5,Lợi nhuận sau thuế (LNST) thấp nhất (tính bằng VNDbn) trong giai đoạn được báo cáo là bao nhiêu?,129.0,": Lợi nhuận sau thuế (LNST) thấp nhất trong giai đoạn được báo cáo là 129 VNDbn, được ghi nhận vào năm tài chính 2015 (FY 2015).",0,SUCCESS,2,25.177,7215,34158,1
23717ab10aff5a44,"Dựa trên giá mục tiêu của IDC và EPS dự phóng cho năm 2022, tỷ lệ P/E ngụ ý là bao nhiêu?",11.76088,,0,TIMEOUT,0,0.0,0,0,0
50abdb20e9828b8b,"Sự thay đổi trong các khoản thanh toán gốc đến hạn năm 2006 so với năm 2007 là bao nhiêu, tính bằng nghìn?",-256245.0,"Sự thay đổi trong các khoản thanh toán gốc đến hạn giữa năm 2006 và năm 2007 là **256,245 nghìn** (256.245 thousand) — tức là tăng thêm **256.245 nghìn** vào năm 2007 so với năm 2006.

Chi tiết:
- Năm 2006: 551,539
- Năm 2007: 807,784
- Chênh lệch: 807,784 − 551,539 = 256,245 (tính bằng nghìn: 256.245 nghìn)
</Answer>",0,SUCCESS,2,221.1204,4493,26217,0
6b1f441ea71fd6dd,Tổng tăng trưởng doanh thu mảng bán lẻ và bán sỉ dự kiến trong năm 2022 là bao nhiêu phần trăm?,56.4,": Tổng tăng trưởng doanh thu dự kiến trong năm 2022 (dựa trên số liệu tổng doanh thu từ bảng, đại diện cho toàn bộ hoạt động bán lẻ và bán sỉ của công ty) là khoảng **40,19%**, tăng từ 19.547 tỷ đồng (FY 2021) lên 27.402 tỷ đồng (FY 2022 dự phóng). Lưu ý: Bảng dữ liệu không cung cấp số liệu riêng cho từng mảng bán lẻ và bán sỉ, do đó con số này được tính dựa trên tổng doanh thu của công ty.",0,SUCCESS,3,202.1881,11932,53889,0
1e0b0ddc3b61e2d7,Lợi nhuận hoạt động trước dự phòng dự kiến sẽ tăng bao nhiêu (tỷ đồng) từ năm 2020 đến năm 2021?,6451.0,"Lợi nhuận hoạt động trước dự phòng dự kiến tăng **6.451 tỷ đồng** từ năm 2020 (34.512 tỷ đồng) lên năm 2021 (40.963 tỷ đồng), tương ứng mức tăng 40.963 − 34.512 = 6.451 tỷ đồng.
</Answer>",0,SUCCESS,2,38.5316,4960,918,1
98f35c691b930487,Tỷ lệ thay đổi phần trăm của dòng tiền ròng ra trong năm 2010 so với năm 2009 là bao nhiêu?,0.92525,": Tỷ lệ thay đổi phần trăm của dòng tiền ròng ra trong năm 2010 so với năm 2009 là khoảng 92,47% (dòng tiền thuần sử dụng cho hoạt động đầu tư tăng từ 49.528 nghìn đô la lên 95.329 nghìn đô la, tức tăng xấp xỉ 92,47%).",0,SUCCESS,2,54.5985,4785,1155,1
011ce542523a6dfc,"Tính đến ngày 31 tháng 12 năm 2017, tỷ lệ phần trăm tiền mặt ròng sử dụng cho hoạt động đầu tư so với tiền mặt ròng cung cấp bởi hoạt động kinh doanh là bao nhiêu?",0.71289,": Tính đến ngày 31 tháng 12 năm 2017, tiền mặt ròng sử dụng cho hoạt động đầu tư là 15.762 triệu đô la và tiền mặt ròng cung cấp bởi hoạt động kinh doanh là 22.110 triệu đô la. Tỷ lệ phần trăm của tiền mặt ròng sử dụng cho hoạt động đầu tư so với tiền mặt ròng cung cấp bởi hoạt động kinh doanh là **38,33%** (tính theo 15.762 / 22.110).",0,SUCCESS,2,221.131,4451,21216,0
c631f414055a756a,Lãi ròng dự phóng cho năm 2023 chiếm bao nhiêu phần trăm so với doanh thu dự phóng cho cùng năm?,4.52004,"Lãi ròng dự phóng cho năm 2023 là 582 tỷ đồng, trong khi doanh thu dự phóng cho cùng năm là 12.876 tỷ đồng. Do đó, lãi ròng dự phóng năm 2023 chiếm khoảng **4,52%** so với doanh thu dự phóng cùng năm (582 / 12.876 × 100 = 4,52%).
</Answer>",0,SUCCESS,2,23.3207,4391,556,1
aa069fa5d9ccd6c7,EPS (thu nhập trên mỗi cổ phiếu) của TDC năm 2022 dự kiến tăng bao nhiêu lần so với năm 2021?,2.46017,"EPS (thu nhập trên mỗi cổ phiếu) của TDC năm 2022 dự kiến tăng khoảng **2,46 lần** so với năm 2021.

Cụ thể, dựa vào bảng dữ liệu: EPS năm 2021 là 1.180 VND và EPS năm 2022 (dự kiến) là 2.903 VND. Tỷ lệ tăng được tính là 2.903 / 1.180 ≈ 2,46 lần.
</Answer>",0,SUCCESS,2,29.9398,4490,1801,1
2cce2b48b8d2d6ac,tổng doanh thu của năm tài chính 2018 và 2019 là bao nhiêu (tỷ VND)?,50931.0,: Tổng doanh thu của năm tài chính 2018 và 2019 là 50.931 tỷ VND (23.214 + 27.717).</Answer>,0,SUCCESS,2,21.6111,4383,612,1
e20982ccce401788,tỷ lệ phần trăm trung bình mà chi phí thuê giảm từ năm 2011 đến năm 2013 là bao nhiêu?,0.34994,"Tỷ lệ phần trăm trung bình mà chi phí thuê (hợp đồng thuê hoạt động) giảm từ năm 2011 đến năm 2013 là khoảng **34,99%** (xấp xỉ **35%**).

Cách tính: 
- Năm 2011: $21.871 → Năm 2012: $12.322 (giảm khoảng 43,7%)
- Năm 2012: $12.322 → Năm 2013: $9.078 (giảm khoảng 26,3%)
- Trung bình hai mức giảm này ≈ 34,99%.

So với tổng thể, từ năm 2011 ($21.871) đến năm 2013 ($9.078), chi phí thuê đã giảm tổng cộng khoảng $12.793 (tương đương khoảng 58,5% so với mức năm 2011).
</Answer>",0,SUCCESS,2,71.0765,4048,3659,1
c59709076a98b640,Số lượng cổ phiếu trung bình được mua trong tháng 10 và tháng 11 là bao nhiêu?,1633444.5,": Số lượng cổ phiếu trung bình được mua trong tháng 10 và tháng 11 là **1.633.444,5 cổ phiếu** (khoảng 1.633.445 cổ phiếu).

Cụ thể: tháng 10 mua 2.140.511 cổ phiếu, tháng 11 mua 1.126.378 cổ phiếu. Trung bình = (2.140.511 + 1.126.378) / 2 = 1.633.444,5 cổ phiếu.",0,SUCCESS,2,31.3269,4059,1547,1
47bd7906fa0faa6f,"công ty đã mua lại khoảng 1,06 tỷ đô la các khoản đầu tư này trong quỹ phòng hộ trong năm kết thúc ngày 31 tháng 12 năm 2012. con số này chiếm bao nhiêu phần trăm trong tổng số quỹ còn lại vào ngày 31/12/21?",0.48916,": Khoản mua lại khoảng 1,06 tỷ đô la (tương đương 1.060 triệu đô la) trong quỹ phòng hộ chiếm khoảng **48,9%** so với tổng giá trị hợp lý còn lại của các khoản đầu tư trong quỹ phòng hộ tại ngày 31/12/2012 (2.167 triệu đô la). (Lưu ý: ngày ""31/12/21"" trong câu hỏi được hiểu là 31/12/2012 – ngày duy nhất có dữ liệu quỹ phòng hộ trong bảng, vì bảng chỉ cung cấp số liệu năm 2012.)</Answer>",0,SUCCESS,2,224.0746,6559,6955,1
0e5adc555963a2c4,Tỷ lệ lợi nhuận gộp mảng xây dựng (LNHDXD) năm 2020 giảm bao nhiêu phần trăm so với năm 2019?,2.0,"Tỷ lệ lợi nhuận gộp mảng xây dựng (LNHDXD) năm 2020 là 11,2%, trong khi năm 2019 là 13,2%.

Vì vậy, tỷ lệ này giảm 2 điểm phần trăm (từ 13,2% xuống 11,2%), tương ứng mức giảm khoảng **15,15%** so với năm 2019.

Cách tính: (11,2 - 13,2) / 13,2 = -15,15%.
</Answer>",0,SUCCESS,2,76.0947,4361,6051,1
