Index,Batch_ID,Question_ID,Table_ID,Source_ID,Question,Gold_Answer,Qwen_Answer,Exact_Match,LLM_Judge,Status,Num_Iterations,Total_Latency_Sec,Avg_Latency_Per_Step,API_Call_Count,Input_Tokens,Output_Tokens,Total_Tokens
1,,6ed57e2cc8e3a916,vinumqa_0001,masvn/2020/2020039-Ver_1_VN_DRC_Initiate_Jan_08_M/page_1_QA1,Doanh thu cao nhất trong giai đoạn FY17-FY21 là bao nhiêu (tỷ VND)?,4216.0,: Doanh thu cao nhất trong giai đoạn FY17-FY21 là 3.669 tỷ VND.,0,NOT_RUN,SUCCESS,2,7.3372,3.6686,4,3938,88,4026
2,,53e4ecb424fb32b7,vinumqa_0002,IP/2015/page_46.pdf-3,Biên lợi nhuận đóng gói tiêu dùng trong năm 2013 là bao nhiêu?,0.04687,": 4,69%",0,NOT_RUN,SUCCESS,2,12.2431,6.1216,4,3298,458,3756
3,,07533e4ae61fe888,vinumqa_0003,masvn/2020/2020045-PNJ010320Initiation.VN/page_12_QA6,Giá trị EBIT thấp nhất trong giai đoạn 2014-2019?,268.0,: Giá trị EBIT thấp nhất trong giai đoạn 2014–2019 là 268.,0,NOT_RUN,SUCCESS,2,9.6685,4.8342,4,3877,125,4002
4,,77ca979a0884a3dd,vinumqa_0004,masvn/2021/2021132-VNREE_Updatereport_Hold_MAS_10042021/page_6_QB4,Lợi nhuận sau thuế của VSH trong năm 2021 tăng bao nhiêu tỷ đồng so với năm 2020?,293.0,: Không đủ thông tin để xác định chính xác lợi nhuận sau thuế của VSH trong năm 2021 tăng bao nhiêu tỷ đồng so với năm 2020.,0,NOT_RUN,SUCCESS,4,23.0059,5.7515,10,12389,1568,13957
5,,a60f6763aff3c35f,vinumqa_0005,masvn/2022/2022033-2022-Apr-Strategy-VN_Equity_KCN_MAS-N/page_6_QA8,Biên lợi nhuận hoạt động kinh doanh (Biên LN HĐKD) cao nhất trong giai đoạn được liệt kê là bao nhiêu phần trăm?,25.7,: Biên lợi nhuận hoạt động kinh doanh (Biên LN HĐKD) cao nhất trong giai đoạn được liệt kê là 17.1 phần trăm.,0,NOT_RUN,SUCCESS,2,7.4803,3.7401,4,3802,127,3929
6,,dba2f48e8cfd3388,vinumqa_0006,ABMD/2011/page_33.pdf-3,Tỷ suất lợi nhuận đầu tư (ROI) của khoản đầu tư vào chỉ số Nasdaq Composite từ tháng 3 năm 2006 đến tháng 3 năm 2009 là bao nhiêu?,-0.3467,: Tỷ suất lợi nhuận đầu tư (ROI) của khoản đầu tư vào chỉ số Nasdaq Composite từ tháng 3 năm 2006 đến tháng 3 năm 2009 là -34.67%.,0,NOT_RUN,SUCCESS,2,9.1142,4.5571,4,4017,385,4402
7,,aba68a617a0cf19a,vinumqa_0007,ETR/2004/page_163.pdf-4,Mức tăng chi phí xây dựng tính theo phần trăm so với mức tăng tiền mặt ròng sử dụng trong hoạt động đầu tư năm 2003 là bao nhiêu?,0.65153,: Không đủ thông tin để tính mức tăng chi phí xây dựng theo phần trăm trong năm 2004 so với năm 2003.,0,NOT_RUN,SUCCESS,2,9.8792,4.9396,4,3305,565,3870
8,,0eb69867f3de6f97,vinumqa_0008,PPG/2013/page_54.pdf-1,tỷ lệ tăng trung bình trong số dư lợi ích thuế chưa được công nhận từ năm 2011 đến 2013 là bao nhiêu?,0.90147,: -20.56%,0,NOT_RUN,SUCCESS,2,12.7226,6.3613,4,4822,958,5780
9,,fea7e78932a43c31,vinumqa_0009,masvn/2021/2021146-NAF_BClandau_MUA_MAS_20211026/page_1_QA8,Doanh thu thuần cao nhất trong giai đoạn 2019-2023F là bao nhiêu (tỷ đồng)?,2333.0,": Doanh thu thuần cao nhất trong giai đoạn 2019–2023F là 2.333 tỷ đồng, được ghi nhận vào năm 2023F.",0,NOT_RUN,SUCCESS,2,10.0069,5.0034,4,4538,160,4698
10,,cc8d09b602aeb047,vinumqa_0010,MRO/2015/page_56.pdf-2,"Chi phí vốn trung bình hàng năm cho bộ phận doanh nghiệp là bao nhiêu, tính bằng triệu đô la?",44.66667,": 44,67 triệu đô la",0,NOT_RUN,SUCCESS,2,9.7517,4.8758,4,3608,419,4027
