Index,Batch_ID,Question_ID,Table_ID,Source_ID,Question,Gold_Answer,Qwen_Answer,Exact_Match,LLM_Judge,Status,Num_Iterations,Num_Retrieved_Chunks,Total_Latency_Sec,Retrieval_Latency_Sec,LLM_Latency_Sec,API_Call_Count,Input_Tokens,Output_Tokens,Total_Tokens
1,1,6ed57e2cc8e3a916,vinumqa_0001,masvn/2020/2020039-Ver_1_VN_DRC_Initiate_Jan_08_M/page_1_QA1,Doanh thu cao nhất trong giai đoạn FY17-FY21 là bao nhiêu (tỷ VND)?,4216.0,Doanh thu cao nhất trong giai đoạn FY17-FY21 là 4.216 tỷ VND (tương ứng với FY20).,0,NOT_RUN,success,1,3,4.2318,3.0023,1.2247,1,1436,36,1472
2,1,53e4ecb424fb32b7,vinumqa_0002,IP/2015/page_46.pdf-3,Biên lợi nhuận đóng gói tiêu dùng trong năm 2013 là bao nhiêu?,0.04687,Biên lợi nhuận bán hàng trung bình của mảng bao bì tiêu dùng châu Âu năm 2013 là 100 triệu đô la.,0,NOT_RUN,success,1,3,3.7092,2.8178,0.8905,1,1148,35,1183
3,1,07533e4ae61fe888,vinumqa_0003,masvn/2020/2020045-PNJ010320Initiation.VN/page_12_QA6,Giá trị EBIT thấp nhất trong giai đoạn 2014-2019?,268.0,"Giá trị EBIT thấp nhất trong giai đoạn 2014-2019 là 268, xảy ra vào năm 2015.",0,NOT_RUN,success,1,3,3.9719,3.0481,0.9227,1,936,37,973
4,1,77ca979a0884a3dd,vinumqa_0004,masvn/2021/2021132-VNREE_Updatereport_Hold_MAS_10042021/page_6_QB4,Lợi nhuận sau thuế của VSH trong năm 2021 tăng bao nhiêu tỷ đồng so với năm 2020?,293.0,"Lợi nhuận sau thuế của VSH trong năm 2021 tăng khoảng 332,2 tỷ đồng so với năm 2020.",0,NOT_RUN,success,1,3,4.0916,3.0399,1.0511,1,990,34,1024
5,1,a60f6763aff3c35f,vinumqa_0005,masvn/2022/2022033-2022-Apr-Strategy-VN_Equity_KCN_MAS-N/page_6_QA8,Biên lợi nhuận hoạt động kinh doanh (Biên LN HĐKD) cao nhất trong giai đoạn được liệt kê là bao nhiêu phần trăm?,25.7,"Biên lợi nhuận hoạt động kinh doanh (Biên LN HĐKD) cao nhất trong giai đoạn được liệt kê là 38,5%.",0,NOT_RUN,success,1,3,4.0604,3.1883,0.8716,1,1467,35,1502
6,1,dba2f48e8cfd3388,vinumqa_0006,ABMD/2011/page_33.pdf-3,Tỷ suất lợi nhuận đầu tư (ROI) của khoản đầu tư vào chỉ số Nasdaq Composite từ tháng 3 năm 2006 đến tháng 3 năm 2009 là bao nhiêu?,-0.3467,"Tỷ suất lợi nhuận đầu tư (ROI) của khoản đầu tư vào chỉ số Nasdaq Composite từ tháng 3 năm 2006 đến tháng 3 năm 2009 được tính như sau:

- Giá trị đầu tư ban đầu (ngày 31/3/2006): 100  
- Giá trị cuối kỳ (ngày 31/3/2009): 65.33  

Công thức tính ROI:  
\[
ROI = \left( \frac{\text{Giá trị cuối kỳ} - \text{Giá trị đầu kỳ}}{\text{Giá trị đầu kỳ}} \right) \times 100
\]

\[
ROI = \left( \frac{65.33 - 100}{100} \right) \times 100 = -34.67\%
\]

Vậy tỷ suất lợi nhuận đầu tư (ROI) là **-34,67%**.",0,NOT_RUN,success,1,3,4.6207,2.707,1.9128,1,1034,220,1254
7,1,aba68a617a0cf19a,vinumqa_0007,ETR/2004/page_163.pdf-4,Mức tăng chi phí xây dựng tính theo phần trăm so với mức tăng tiền mặt ròng sử dụng trong hoạt động đầu tư năm 2003 là bao nhiêu?,0.65153,"Mức tăng chi phí xây dựng trong năm 2003 là 57,4 triệu đô la. Mức tăng tiền mặt ròng sử dụng trong hoạt động đầu tư trong năm 2003 là 88,1 triệu đô la.  

Tỷ lệ phần trăm của mức tăng chi phí xây dựng so với mức tăng tiền mặt ròng sử dụng trong hoạt động đầu tư năm 2003 được tính như sau:  
(57,4 / 88,1) × 100 ≈ 65,15%.  

Vì vậy, mức tăng chi phí xây dựng tính theo phần trăm so với mức tăng tiền mặt ròng sử dụng trong hoạt động đầu tư năm 2003 là khoảng **65,15%**.",0,NOT_RUN,success,1,3,4.2074,2.6162,1.5907,1,909,169,1078
8,1,0eb69867f3de6f97,vinumqa_0008,PPG/2013/page_54.pdf-1,tỷ lệ tăng trung bình trong số dư lợi ích thuế chưa được công nhận từ năm 2011 đến 2013 là bao nhiêu?,0.90147,"Dựa trên bảng dữ liệu từ file vinumqa_0008.xlsx, số dư lợi ích thuế chưa được công nhận tại ngày 31 tháng 12 là:

- Năm 2011: 107 triệu đô la  
- Năm 2012: 82 triệu đô la  
- Năm 2013: 85 triệu đô la  

Tỷ lệ tăng trung bình từ năm 2011 đến 2013 được tính như sau:

- Từ 2011 đến 2012: (82 - 107) / 107 = -23,36%  
- Từ 2012 đến 2013: (85 - 82) / 82 = 3,66%  

Tỷ lệ tăng trung bình (tính theo tỷ lệ thay đổi hàng năm):  
((1 + (-0,2336)) × (1 + 0,0366))^(1/2) - 1 ≈ -0,104 hoặc -10,4%

Tuy nhiên, do đề bài yêu cầu ""tỷ lệ tăng trung bình"", và giá trị giảm từ 2011 đến 2012, nên không có tăng trưởng dương. Tỷ lệ tăng trung bình là âm.

Kết luận: Tỷ lệ tăng trung bình trong số dư lợi ích thuế chưa được công nhận từ năm 2011 đến 2013 là **-10,4%**.",0,NOT_RUN,success,1,3,5.3997,2.9543,2.4446,1,1074,343,1417
9,1,fea7e78932a43c31,vinumqa_0009,masvn/2021/2021146-NAF_BClandau_MUA_MAS_20211026/page_1_QA8,Doanh thu thuần cao nhất trong giai đoạn 2019-2023F là bao nhiêu (tỷ đồng)?,2333.0,Doanh thu thuần cao nhất trong giai đoạn 2019-2023F là 2333 tỷ đồng (năm 2023F).,0,NOT_RUN,success,1,3,3.8335,2.723,1.1093,1,1524,41,1565
10,1,cc8d09b602aeb047,vinumqa_0010,MRO/2015/page_56.pdf-2,"Chi phí vốn trung bình hàng năm cho bộ phận doanh nghiệp là bao nhiêu, tính bằng triệu đô la?",44.66667,Chi phí vốn trung bình hàng năm cho bộ phận doanh nghiệp là 15.762 triệu đô la (dựa trên dòng tiền sử dụng cho hoạt động đầu tư trong năm 2017 từ bảng dữ liệu vinumqa_0029.xlsx).,0,NOT_RUN,success,1,3,3.1903,2.0641,1.1257,1,1047,59,1106
